Designator,Footprint,Quantity,Value,LCSC Part #,Comment
AMS1,SOT-223-3_TabPin2,1,AMS1117-3.3,,
"C1, C10, C2, C3, C4, C5, CTMP1",805,7,100 nF,,
"C11, C13, C9",805,3,10uF,,
"C12, C15, C16, C7",805,4,100nF,,
C14,CP_Radial_D10.0mm_P5.00mm,1,10uF,,
C17,CP_Radial_D10.0mm_P5.00mm,1,10 uF,,
C6,805,1,1uF,,
C8,805,1,22uF,,
"CONNL1, CONNR1",PinHeader_1x22_P2.54mm_Vertical,2,Conn_01x22_Male,,Do not connect
CONNPOW1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,,Do not connect
CP1,QFN50P500X500X80-29N,1,CP2102N-A02-GQFN28,,
"D1, D2, D3, D4",D_SMA,4,1N4007,,
"D5, D7, D8",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,,
D6,D_SMA,1,1N5819,,
"DRA1, DRA2",DINRailAdapter_3xM3_PhoenixContact_1201578,2,DIN_Rail_Adapter,,
"DRR1, DRR2, DRR3, DRR4",1206,4,LED,,
"DS1, DS2, JR1, JR2, JR3, JR4",Screw-3-pin-conn,6,Screw_Terminal_01x03,C784923,
ESP32S3,XCVR_ESP32-S3-WROOM-1-N8R2,1,ESP32-S3-WROOM-1-N8R2,C2913204,
F1,1812,1,Polyfuse,C84140,
"I2C1, I2C2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Male,,Do not connect
"L1, L2, LEDU1",805,3,LED,C601669,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,L8050QLT1G,C49581,
Q7,SOT-23,1,2N7002,C466660,
"R1, R2",805,2,22R,,
"R10, R12, R3",805,3,1M,,
"R11, R13, R14, R15, R7, R8, R9",805,7,0R,,
R16,805,1,22.1K,,
R17,805,1,47.5K,,
"R18, RQOPT1, RQOPT3, RQOPT5, RQOPT6",805,5,1K,,
"R19, R4, R5, R6",805,4,10K,,
"RDS1, RI2C1, RI2C2, RTMP1",805,4,4K7,,
"RELAY1, RELAY2, RELAY3, RELAY4",Relay_T75,4,SRD-05VDC-SL-C,C35449,
"RLED3V1, RLED5V1, RLEDUV1",805,3,5K1,,
"ROPT1, ROPT2, ROPT3, ROPT4",805,4,330R,,
"RQOPT2, RQOPT4, RQOPT7, RQOPT8",805,4,2K2,,
"SW1, SW2, SW3, SW4",switch-dpdt,4,SW_Push_DPDT,C318862 ,
"SW5, SW6",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,SW_DIP_x01,C2837531,
TERM_POW1,Screw-2-pin-conn,1,Screw_Terminal_01x02,C784922,
"U1, U2, U3, U4",SOP-4_3.8x4.1mm_P2.54mm,4,PC817,C2936043,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TMP75AIDR,C30389 ,
USBC1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,,
