Designator,Footprint,Quantity,Value,LCSC Part #,Comment
,,,,,
AMS1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186,
"C1,  C2, C3, C4, CTMP1",805,5,100 nF,C49678,
"C11, C13, C9",805,3,10uF,C440198,
"C12, C15, C16, C7",805,4,100nF,C49678,
C6,805,1,1uF,C28323,
C8,805,1,22uF,C45783,
CP1,QFN50P500X500X80-29N,1,CP2102N-A02-GQFN28,C964632,
"D1, D2, D3, D4",D_SMA,4,1N4007,C14996,
"D5, D7, D8",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,C383211,
D6,D_SMA,1,1N5819,C8678,
,,,,,
"DRR1, DRR2, DRR3, DRR4, L1, L2, LEDU1",805,7,LED,C84256,
"DS1, DS2, JR1, JR2, JR3, JR4",Screw-3-pin-conn,6,Screw_Terminal_01x03,C784923,
ESP32S3,XCVR_ESP32-S3-WROOM-1-N8R2,1,ESP32-S3-WROOM-1-N8R2,C2913204,
F1,1812,1,Polyfuse,C84140,
"Q1, Q2, Q3, Q4, Q5, Q6",да,6,MMBT2222A 1P,C8512,
Q7,SOT-23,1,N-mosfet,,
"R1, R2",805,2,22R,C17561,
"R10, R12",805,2,5.1K,C27834,
,,,,,
R16,805,1,22.1K,C17560,
R17,805,1,47.5K,C17713,
"R18, RQOPT1, RQOPT3, RQOPT5, RQOPT6",805,5,1K,C17513,
"R4, R5, R6",805,3,10K,C17414,
R3,805,1,1M,C17514,
"RDS1, RI2C1, RI2C2, RTMP1",805,4,4K7,C17673,
"RELAY1, RELAY2, RELAY3, RELAY4",Relay_T75,4,SRD-05VDC-SL-C,C35449,
"RLED3V1, RLED5V1, RLEDUV1",805,3,5K1,C27834,
"ROPT1, ROPT2, ROPT3, ROPT4",805,4,330R,C17630,
"RQOPT2, RQOPT4, RQOPT7, RQOPT8",805,4,2K2,C17520,
"SW1, SW2, SW3, SW4",switch-dpdt,4,SW_Push_DPDT,C318862 ,
"SW5, SW6",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,SW_DIP_x01,C2837531,
TERM_POW1,Screw-2-pin-conn,1,Screw_Terminal_01x02,C784922,
"U1, U2, U3, U4",SOP-4_3.8x4.1mm_P2.54mm,4,EL357N©,C29981,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TMP75AIDR,C30389 ,
USBC1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C5337088,
"R11, R13, R14, R15, R7, R8, R9",805,7,0R,C17477,
